Месяц выдачи кредита;Сумма кредита;Срок кредита;Возраст клиента;Пол клиента;Образование клиента;Тип товара;Наличие детей у клиента;Регион выдачи кредита;Доход клиента;Семейное положение;Оператор связи;Является ли клиентом банка;Флаг дефолта по кредиту
2;10000;12;24;Мужской;Высшее;Мобильные телефоны;Детей нет;Другие регионы;24000;Другое;Мегафон;Не клиент банка;Нет дефолта
2;34000;6;41;Женский;Среднее специальное;Мобильные телефоны;Дети есть;Другие регионы;26000;Женат/замужем;Мегафон;Клиент банка;Дефолт
2;22000;10;24;Женский;Среднее специальное;Мобильные телефоны;Детей нет;Другие регионы;24000;Другое;Мегафон;Не клиент банка;Нет дефолта
2;11000;6;48;Женский;Среднее;Бытовая техника;Дети есть;Другие регионы;46000;Другое;Мегафон;Клиент банка;Нет дефолта
2;32500;6;47;Мужской;Высшее;Окна, двери;Дети есть;Москва или МО;51000;Другое;Теле2;Клиент банка;Нет дефолта
2;18000;6;25;Женский;Высшее;Бытовая техника;Дети есть;Москва или МО;61000;Другое;МТС;Не клиент банка;Нет дефолта
2;11000;6;29;Женский;Среднее специальное;Компьютеры, комплектующие;Детей нет;Другие регионы;24000;Другое;Мегафон;Клиент банка;Нет дефолта
2;32500;24;63;Мужской;Среднее специальное;Бытовая техника;Детей нет;Другие регионы;13000;Другое;Билайн;Клиент банка;Нет дефолта
2;43500;12;56;Мужской;Высшее;Косметика и косметические услуги;Детей нет;Москва или МО;16000;Другое;Мегафон;Клиент банка;Нет дефолта
2;19500;15;42;Женский;Высшее;Мобильные телефоны;Дети есть;Другие регионы;21000;Другое;Билайн;Клиент банка;Нет дефолта
2;53500;36;48;Мужской;Среднее;Окна, двери;Дети есть;Другие регионы;20000;Другое;Билайн;Клиент банка;Нет дефолта
2;165000;12;48;Женский;Среднее специальное;Мебель;Детей нет;Другие регионы;51000;Другое;Теле2;Клиент банка;Нет дефолта
2;33000;12;35;Мужской;Среднее;Мобильные телефоны;Дети есть;Другие регионы;26000;Женат/замужем;Мегафон;Не клиент банка;Дефолт
2;12500;6;53;Мужской;Среднее;Бытовая техника;Дети есть;Другие регионы;13000;Другое;Теле2;Клиент банка;Нет дефолта
2;14000;6;59;Мужской;Среднее специальное;Мебель;Дети есть;Другие регионы;12000;Другое;Мегафон;Клиент банка;Нет дефолта
2;20000;12;21;Мужской;Среднее;Мебель;Детей нет;Другие регионы;15000;Женат/замужем;Теле2;Клиент банка;Нет дефолта
2;6500;6;31;Мужской;Среднее специальное;Мобильные телефоны;Дети есть;Другие регионы;26000;Другое;Мегафон;Клиент банка;Дефолт
2;12500;18;32;Женский;Среднее;Мобильные телефоны;Дети есть;Другие регионы;11000;Женат/замужем;Мегафон;Не клиент банка;Нет дефолта
2;22500;18;40;Мужской;Среднее специальное;Бытовая техника;Детей нет;Другие регионы;25000;Женат/замужем;МТС;Клиент банка;Нет дефолта
2;13500;6;24;Женский;Высшее;Строительные материалы и инструменты;Детей нет;Другие регионы;21000;Другое;МТС;Клиент банка;Нет дефолта
2;25500;10;20;Мужской;Неоконченное высшее;Мобильные телефоны;Детей нет;Другие регионы;23000;Никогда не был(а) женат/замужем;Мегафон;Клиент банка;Нет дефолта
2;18500;6;29;Мужской;Среднее специальное;Мебель;Дети есть;Другие регионы;27000;Другое;Мегафон;Не клиент банка;Нет дефолта
2;46500;12;54;Мужской;Высшее;Окна, двери;Детей нет;Москва или МО;71000;Другое;МТС;Клиент банка;Нет дефолта
2;22500;12;33;Мужской;Среднее специальное;Мобильные телефоны;Дети есть;Другие регионы;7000;Другое;Мегафон;Клиент банка;Нет дефолта
2;54000;3;45;Мужской;Высшее;Бытовая техника;Детей нет;Другие регионы;101000;Женат/замужем;Теле2;Клиент банка;Нет дефолта
2;14000;12;42;Женский;Среднее специальное;Мобильные телефоны;Дети есть;Другие регионы;21000;Другое;Теле2;Не клиент банка;Нет дефолта
2;30000;6;42;Мужской;Среднее;Компьютеры, комплектующие;Детей нет;Другие регионы;31000;Другое;Мегафон;Клиент банка;Нет дефолта
2;35000;8;36;Мужской;Среднее специальное;Бытовая техника;Детей нет;Другие регионы;61000;Другое;Билайн;Клиент банка;Нет дефолта
